x = 0, y = 21
x = 1, y = 21
x = 2, y = 21
x = 3, y = 21
x = 4, y = 5
x = 4, y = 21
x = 6, y = 29
x = 7, y = 29
x = 9, y = 3
x = 9, y = 6
x = 9, y = 29
x = 11, y = 29
x = 12, y = 29
x = 13, y = 1
x = 13, y = 29
x = 14, y = 1
x = 14, y = 29
x = 15, y = 1
x = 16, y = 1
x = 18, y = 1
x = 18, y = 9
x = 19, y = 1
x = 21, y = 0
x = 21, y = 1
x = 21, y = 9
x = 21, y = 22
x = 21, y = 23
x = 21, y = 25
x = 21, y = 26
x = 21, y = 27
x = 21, y = 28
x = 21, y = 29
x = 23, y = 9
x = 25, y = 9
x = 26, y = 11
x = 26, y = 14
x = 26, y = 17
x = 26, y = 21
x = 27, y = 21
x = 28, y = 21
x = 29, y = 21
